date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,GDP_dollar,adj_price,USD,EUR,GBP,JPY,CNY
1/1/2013,KOR,KRW,South Korea,3700,1085.475,3.408645984,22424.062,3.760849022,0.01712,-0.15635,-0.04371,0.23623,0.06138
1/1/2013,SWE,SEK,Sweden,40.55930138,6.3492,6.388096355,57638.234,5.311018204,0.3498,0.1196,0.26907,0.64058,0.40854
1/1/2013,CHE,CHF,Switzerland,6.5,0.9123,7.124849282,83072.845,6.430679633,0.24336,0.0313,0.16899,0.51121,0.29747
1/1/2013,TWN,TWD,Taiwan,75,29.502,2.542200529,20082.918,3.657789115,-0.22005,-0.35307,-0.2667,-0.05203,-0.18611
1/1/2013,THA,THB,Thailand,87,29.755,2.92387834,5394.714,3.011197136,0.08967,-0.09617,0.0245,0.32442,0.1371
1/1/2013,TUR,TRY,Turkey,8.45,1.76875,4.777385159,10362.609,3.229889705,0.65989,0.3768,0.56061,1.01747,0.73213
1/1/2013,USA,USD,United States,4.367395833,1,4.367395833,48327.861,4.901164657,0,-0.17055,-0.05981,0.21542,0.04352
7/1/2013,ARG,ARS,Argentina,21,5.4125,3.879907621,10959.082,3.122281494,0.286,0.16451,0.33223,0.79239,0.3749
7/1/2013,AUS,AUD,Australia,5.035,1.089858863,4.619864251,66371.218,5.484971452,-0.12834,-0.21069,-0.09701,0.21489,-0.06809
7/1/2013,BRA,BRL,Brazil,12,2.27065,5.284830335,12788.551,3.200287295,0.70897,0.54751,0.7704,1.38191,0.8271
7/1/2013,GBR,GBP,Britain,2.69,0.669142494,4.020070499,38811.424,4.309863376,-0.0347,-0.1259,0,0.34541,0.03203
7/1/2013,CAN,CAD,Canada,5.53,1.05125,5.260404281,50496.043,4.808077918,0.13224,0.02528,0.17294,0.57809,0.21051
7/1/2013,CHL,CLP,Chile,2000,508.155,3.935806988,14403.111,3.269129699,0.24593,0.12822,0.29072,0.73654,0.33206
7/1/2013,CHN,CNY,China,16,6.1341,2.608369606,5416.668,2.885961315,-0.06466,-0.15302,-0.03103,0.30365,0
7/1/2013,COL,COP,Colombia,8600,1921,4.476834982,7114.33,2.958347064,0.56608,0.41813,0.62238,1.18276,0.67434
7/1/2013,CZE,CZK,Czech Republic,70.45,20.1828,3.490595953,20435.875,3.526357664,0.02439,-0.07239,0.06121,0.42777,0.0952
7/1/2013,DNK,DKK,Denmark,28.5,5.8006,4.913284833,59708.962,5.200902898,-0.02234,-0.11471,0.0128,0.36263,0.04524
7/1/2013,EGY,EGP,Egypt,16.75,7.00915,2.38973342,2931.827,2.78001144,-0.1104,-0.19444,-0.07842,0.2399,-0.0489
7/1/2013,EUZ,EUR,Euro area,3.623870489,0.777756173,4.659391484,40137.01059,4.36638439,0.10433,0,0.14403,0.53919,0.18067
7/1/2013,HKG,HKD,Hong Kong,17,7.75665,2.191667795,34259.337,4.115769248,-0.44892,-0.50098,-0.42911,-0.23192,-0.41082
7/1/2013,HUN,HUF,Hungary,860,228.462,3.76430216,14050.009,3.254073962,0.19715,0.08405,0.24019,0.66856,0.27991
7/1/2013,IND,INR,India,90,59.98,1.500500167,1513.618,2.719541146,-0.429,-0.48295,-0.40848,-0.20416,-0.38953
7/1/2013,IDN,IDR,Indonesia,27939,9965,2.803712995,3511.799,2.804740572,0.03451,-0.06323,0.07169,0.44187,0.10602
7/1/2013,ISR,ILS,Israel,17.5,3.64595,4.799846405,32350.817,4.034392831,0.23124,0.11492,0.2755,0.71606,0.31635
7/1/2013,JPN,JPY,Japan,320,100.105,3.196643524,45869.72,4.610818479,-0.28252,-0.35031,-0.25673,0,-0.23293
7/1/2013,MYS,MYR,Malaysia,7.3,3.1805,2.295236598,10084.608,3.084995241,-0.23004,-0.30279,-0.20237,0.07314,-0.17682
7/1/2013,MEX,MXN,Mexico,37,12.94115,2.859096757,10146.041,3.087614651,-0.04171,-0.13224,-0.00726,0.33564,0.02454
7/1/2013,NZL,NZD,New Zealand,5.5,1.279344975,4.299075001,35973.02,4.188838108,0.06212,-0.03822,0.1003,0.48035,0.13554
7/1/2013,NOR,NOK,Norway,46,6.1281,7.506404922,97607.32,6.816831761,0.13957,0.03191,0.18054,0.5883,0.21835
7/1/2013,PAK,PKR,Pakistan,300,100.035,2.998950367,1199.111,2.706131041,0.14687,0.03852,0.18809,0.59847,0.22614
7/1/2013,PER,PEN,Peru,10,2.783,3.5932447,5904.494,2.90676148,0.27929,0.15843,0.32528,0.78304,0.36772
7/1/2013,PHL,PHP,Philippines,115.21,43.44,2.652163904,2344.889,2.754985288,-0.00374,-0.09786,0.03207,0.38856,0.06513
7/1/2013,POL,PLN,Poland,9.2,3.3655,2.733620562,13468.655,3.229285904,-0.12396,-0.20672,-0.09247,0.221,-0.0634
7/1/2013,RUS,RUB,Russia,87,32.9389,2.641253958,12993.358,3.209019956,-0.14821,-0.22869,-0.1176,0.18719,-0.08933
7/1/2013,SAU,SAR,Saudi Arabia,10,3.7502,2.666524452,21196.287,3.558780485,-0.22458,-0.29784,-0.19671,0.08076,-0.17098
7/1/2013,SGP,SGD,Singapore,4.7,1.2747,3.687142073,49270.872,4.755838474,-0.19767,-0.27347,-0.16882,0.11827,-0.1422
7/1/2013,ZAF,ZAR,South Africa,22.5,10.04725,2.239418746,8078.451,2.99945573,-0.22735,-0.30034,-0.19957,0.0769,-0.17393
7/1/2013,KOR,KRW,South Korea,3900,1135.7,3.434005459,22424.062,3.61113096,-0.01588,-0.10885,0.0195,0.37164,0.05215
7/1/2013,SWE,SEK,Sweden,41.61,6.7583,6.15687377,57638.234,5.112610178,0.24626,0.12852,0.29106,0.73701,0.33241
7/1/2013,CHE,CHF,Switzerland,6.5,0.9674,6.719040728,83072.845,6.197103654,0.12205,0.01604,0.16238,0.56388,0.19961
7/1/2013,TWN,TWD,Taiwan,79,30.0285,2.630834041,20082.918,3.511308109,-0.22462,-0.29787,-0.19674,0.08071,-0.17102
7/1/2013,THA,THB,Thailand,89,31.275,2.845723421,5394.714,2.885025229,0.02079,-0.07565,0.05748,0.42274,0.09135
7/1/2013,TUR,TRY,Turkey,8.5,1.95745,4.342384224,10362.609,3.096848784,0.45111,0.31402,0.50327,1.02252,0.55142
7/1/2013,USA,USD,United States,4.556666667,1,4.556666667,48327.861,4.715629906,0,-0.09448,0.03595,0.39377,0.06913
1/1/2014,ARG,ARS,Argentina,21,6.92125,3.034134008,10959.082,3.136148629,0.02583,-0.1195,-0.06885,0.55734,0.01363
1/1/2014,AUS,AUD,Australia,5.05,1.128859288,4.473542499,66371.218,5.756245671,-0.17596,-0.2927,-0.25201,0.251,-0.18576
1/1/2014,BRA,BRL,Brazil,12.4,2.36305,5.247455619,12788.551,3.222652898,0.72652,0.48192,0.56718,1.62107,0.70598
1/1/2014,GBR,GBP,Britain,2.79,0.603009015,4.6267965,38811.424,4.453113542,0.10167,-0.0544,0,0.67248,0.08857
1/1/2014,CAN,CAD,Canada,5.54,1.1051,5.013120985,50496.043,5.005606875,0.06191,-0.08853,-0.03609,0.61211,0.04928
1/1/2014,CHL,CLP,Chile,2000,541.95,3.690377341,14403.111,3.29899545,0.18611,0.01808,0.07664,0.80067,0.172
1/1/2014,CHN,CNY,China,16.6,6.0513,2.743212202,5416.668,2.874082165,0.01204,-0.13134,-0.08136,0.5364,0
1/1/2014,COL,COP,Colombia,8600,1982.795,4.337311724,7114.33,2.954354097,0.55666,0.33613,0.413,1.36321,0.53815
1/1/2014,CZE,CZK,Czech Republic,70.45,20.2838,3.473215078,20435.875,3.584247531,0.02747,-0.11809,-0.06735,0.55983,0.01525
